asample,bsample,JaccardDistance
S0026,SS0157,0.23452439145176396
S0017,S0025,0.11703972340723556
S0029,SS0151,0.38950847760981
S0009,SS0033,0.1967345110538472
S0004,S0026,0.21100859428472019
SS0153,SS0156,0.27727168538511293
S0002,S0006,0.17640833804732248
S0006,S0026,0.11784351037920193
S0021,SS0043,0.18702964665363075
SS0043,SS0154,0.23061613025167105
S0019,SS0045,0.20467307240498955
S0020,SS0035,0.1760413758399515
S0025,SS0040,0.1560770102408634
S0001,S0021,0.41495065362319195
S0024,SS0149,0.16135871746264907
S0017,S0028,0.222204621378301
S0008,S0023,0.20462136924916452
S0011,SS0042,0.289882984469082
S0020,SS0150,0.22413259128463714
S0003,S0027,0.16911774360918308
SS0034,SS0154,0.19298655497281858
S0012,SS0154,0.2018484579363976
S0015,SS0158,0.14303056308977613
S0010,SS0151,0.3524257276603696
S0010,SS0042,0.22057710942675834
SS0039,SS0043,0.16867164965674197
S0023,SS0043,0.17678780297696173
S0004,SS0041,0.24647502500690122
SS0040,SS0153,0.23146543231916195
S0012,SS0036,0.2310182750511226
SS0036,SS0151,0.25984891489852013
S0016,SS0149,0.13749630907944654
S0026,SS0158,0.182549273030835
SS0046,SS0156,0.24100569501262448
S0011,S0027,0.2957725040117549
S0002,S0024,0.16016892848536124
S0003,S0017,0.11058893615447873
S0023,S0029,0.16174773941582044
S0003,S0013,0.23135299299426038
S0015,SS0042,0.22105373293266362
S0028,SS0151,0.35788852078677746
S0029,SS0041,0.23961494077677636
S0019,S0023,0.1185253175532025
SS0035,SS0151,0.28013456314737006
SS0035,SS0043,0.14648498792982856
S0005,S0013,0.13840486673040908
SS0040,SS0150,0.15341516163570657
S0017,SS0040,0.15272259089340945
S0025,S0027,0.17754529014587406
SS0149,SS0158,0.12196322689583072
SS0039,SS0047,0.24522900490963573
S0008,SS0158,0.27972583672638696
S0017,SS0157,0.20978504260926034
S0011,S0016,0.1769247252749917
S0011,S0024,0.235164487613851
S0008,SS0047,0.299529077294882
SS0047,SS0150,0.2327796388769311
S0016,SS0150,0.18392236257795003
SS0034,SS0045,0.12384749968264197
S0011,S0012,0.06649594603960529
S0003,SS0151,0.2494873174282397
S0008,S0029,0.31196439801528797
S0021,SS0154,0.16046738497877422
S0015,SS0157,0.2866694557775499
S0015,SS0153,0.1405646017674843
S0027,SS0153,0.16481998670767817
S0028,SS0042,0.25598277526402957
S0002,SS0043,0.21395330355684405
SS0048,SS0155,0.18414253313701123
S0011,S0019,0.16414870796487835
S0019,SS0157,0.2750210976974896
S0018,SS0043,0.16821706896865452
S0018,S0023,0.1263126188439826
S0001,SS0037,0.42455952103988337
S0021,S0022,0.08413979492691759
S0016,S0020,0.13227026697813016
S0012,S0028,0.22310892266849713
S0008,S0015,0.26287043823903133
S0010,SS0047,0.17962839946196651
S0024,SS0153,0.14447653432045404
S0016,SS0037,0.12695473874801133
S0008,SS0041,0.17490286343027683
SS0039,SS0041,0.13469548868672687
S0002,S0019,0.2210015792917085
S0018,SS0039,0.11812013918387665
S0018,SS0153,0.17064403997876754
SS0035,SS0153,0.18308646607529
S0019,SS0036,0.1303876530399154
S0001,S0028,0.4752953347540272
S0025,SS0149,0.15588727062448393
S0025,S0028,0.18549957429702202
SS0047,SS0158,0.16884975862427798
S0020,S0027,0.24028518574965374
S0011,S0025,0.22237026969734885
S0008,S0017,0.17433035012670606
SS0033,SS0045,0.21931413540390754
S0002,SS0033,0.2564248303085931
S0012,S0017,0.24969593909968446
S0024,S0029,0.19051477209418632
S0009,S0026,0.19743654434881874
S0013,SS0153,0.17225062601378616
SS0041,SS0157,0.20516358340387086
S0019,S0027,0.2059376547652595
SS0035,SS0150,0.16795370453207126
S0005,S0020,0.13428940318700733
SS0036,SS0157,0.21675852881941804
SS0036,SS0153,0.15337260612721715
S0022,SS0157,0.19230980745164172
S0025,SS0157,0.23019375127801256
S0008,S0028,0.28249623468246676
S0008,S0026,0.21228083348633087
S0016,S0022,0.13452486583238266
SS0034,SS0042,0.14817806062436534
SS0033,SS0156,0.30508408036548407
S0017,S0024,0.10282043923163053
S0027,SS0150,0.13189936676461378
S0002,S0023,0.18364350012091935
S0012,SS0155,0.25097575576798115
S0004,SS0154,0.19450709633770413
S0004,SS0034,0.21071518537089295
S0004,S0017,0.22996989010956448
S0006,SS0037,0.1270377122634998
S0012,SS0041,0.2714249863818321
S0019,S0025,0.10679052824528834
S0019,S0026,0.13043743533362284
S0018,SS0045,0.14568237090224012
S0009,SS0040,0.26838477764659463
S0001,S0019,0.45801109850224
S0022,SS0039,0.16021245136609685
S0008,S0027,0.17371068074954887
S0020,S0028,0.18422858707849032
S0011,SS0033,0.20236999720461812
SS0150,SS0151,0.22314234774827857
S0011,SS0155,0.25575583544855984
S0009,S0011,0.1775693463137724
S0010,S0029,0.13877511853038793
S0023,SS0153,0.12207737779361794
SS0149,SS0153,0.11739340873335158
S0017,SS0037,0.1328365730042086
S0018,SS0150,0.1358759671101577
S0004,SS0035,0.20957740970241834
S0010,SS0035,0.18083046912592404
S0018,SS0035,0.14194488497119806
S0025,SS0035,0.10798968957229615
S0019,SS0035,0.14539019449513224
SS0040,SS0149,0.25178177719130246
S0029,SS0036,0.1981126124499467
SS0036,SS0156,0.21463649868054802
S0001,S0026,0.41626558107205314
S0016,SS0151,0.3240858287290944
S0016,S0027,0.19271026728317842
SS0046,SS0158,0.20450834564981413
S0022,SS0149,0.1725513229157173
S0022,SS0033,0.18798455996407593
S0021,SS0156,0.24671607325718958
S0024,SS0045,0.1613443439261073
S0002,S0027,0.18449128814701943
S0012,S0016,0.17596726709266997
S0003,S0028,0.23534480131684532
S0013,S0025,0.17677421399901982
S0013,SS0034,0.19288454644148922
S0009,SS0151,0.36929863931121965
S0009,SS0155,0.2112095122257407
S0006,SS0149,0.17509533482458517
S0028,SS0046,0.23623757038417237
S0028,SS0157,0.29268001458715087
