Library,x,y,Longitude [degrees_east],Latitude [degrees_north],Cruise,Station,BODC Station,CTDPRS [dbar],yyyy-mm-ddThh:mm:ss.sss,Simpson diversity 50,Entropy Skew 50,pressure,temp,depth,sal,max_cnt_norm_cnt,norm_cnt,sum_ct,gc_content
S0001,2.273638,511.959689,317.5531,49.722,GA02,10,1608554,10,2010-05-10T10:40:29.000,0.000000475,0.291884214,10,24.157,10,35.699001,8486,1.18716825593769E-007,355450459,0.5159235195
S0002,910.060886,-428.443325,317.5531,49.722,GA02,10,1608554,40,2010-05-10T10:40:29.000,0.000000445,0.383725189,40,22.3037943723,39.7359307359,35.7607041039,5917,1.23807921517221E-007,1189585624,0.4456824827
S0003,-1213.358876,-254.921566,317.5531,49.722,GA02,10,1608554,80,2010-05-10T10:40:29.000,0.000000505,0.441568819,80,11.0290405405,79.2972972973,35.249001,6398,1.1883797208471E-007,985637920,0.4310146111
S0004,-384.313275,-77.903826,317.5531,49.722,GA02,10,1608554,100,2010-05-10T10:40:29.000,0.000000739,0.731659228,100,10.6984099099,99.1171171171,35.249001,9659,7.38783297909803E-008,903513026,0.3832073242
S0005,-92.034427,493.416264,317.5531,49.722,GA02,10,1608554,160,2010-05-10T10:40:29.000,0.000000578,0.553972343,160,9.7903227848,158.5443037975,35.1320181266,7407,9.70938555783144E-008,1248428912,0.4085189974
S0006,126.891995,880.806842,317.5531,49.722,GA02,10,1608554,180,2010-05-10T10:40:29.000,0.000000537,0.498604738,180,9.527664557,178.3755274262,35.1048033586,9843,1.0967560814051E-007,1029401778,0.416104943
S0008,212.806233,35.371782,320.34161,46.3119,GA02,12,1608603,10,2010-05-12T18:57:00.000,0.000000471,0.381999189,10,23.0798,9.9,36.3320002,8040,1.25107678723832E-007,969807825,0.453942921
S0009,-541.220457,-58.602542,320.34161,46.3119,GA02,12,1608603,40,2010-05-12T18:57:00.000,0.000000643,0.634695545,40,20.7973636364,39.7402597403,36.3693242727,7635,8.67119726077053E-008,675420123,0.3965924371
S0010,295.680555,915.135653,320.34161,46.3119,GA02,12,1608603,80,2010-05-12T18:57:00.000,0.000000649,0.625341598,80,21.0622820513,79.4871794872,36.6392836667,8650,0.000000091,1147648656,0.3986466194
S0011,-276.105553,-39.703048,320.34161,46.3119,GA02,12,1608603,100,2010-05-12T18:57:00.000,0.000000875,0.831715082,100,21.8096363636,99.3636363636,36.7114539091,8625,6.87589722887164E-008,1581897754,0.3718795245
S0012,-377.48518,530.720537,320.34161,46.3119,GA02,12,1608603,160,2010-05-12T18:57:00.000,0.000000863,0.817886082,160,14.8326,158.7,35.938581,9910,6.85105842978522E-008,1278487971,0.3733454486
S0013,321.913761,-513.810754,320.34161,46.3119,GA02,12,1608603,180,2010-05-12T18:57:00.000,0.000000774,0.74075154,180,16.2592666667,178.7,35.926581,8955,8.14362106902437E-008,1450223765,0.3836472885
S0015,-939.060376,-396.180151,306.70898,36.2051,GA02,16,1608687,10,2010-05-20T11:48:29.000,0.000000689,0.655672111,10,28.3666,9.9,36.30165095,9087,8.96269764024644E-008,1118113669,0.400123888
