sampleid,sum__COLUMN1_
S0001,4.75E-07
S0002,4.45E-07
S0003,5.05E-07
S0004,7.39E-07
S0005,5.78E-07
S0006,5.37E-07
S0008,4.71E-07
S0009,6.43E-07
S0010,6.49E-07
S0011,8.75E-07
S0012,8.63E-07
S0013,7.74E-07
S0015,6.89E-07
S0016,6.18E-07
S0017,5.15E-07
S0018,5.19E-07
S0019,6.36E-07
S0020,7.02E-07
S0021,5.70E-07
S0022,5.64E-07
S0023,5.87E-07
S0024,5.38E-07
S0025,5.48E-07
S0026,5.50E-07
S0027,1.05E-06
S0028,6.77E-07
S0029,7.94E-07
SS0033,5.83E-07
SS0034,5.31E-07
SS0035,5.16E-07
SS0036,5.38E-07
SS0037,5.90E-07
SS0039,4.50E-07
SS0040,4.23E-07
SS0041,4.87E-07
SS0042,4.41E-07
SS0043,4.80E-07
SS0045,4.13E-07
SS0046,4.75E-07
SS0047,6.26E-07
SS0048,5.52E-07
SS0149,7.72E-07
SS0150,6.98E-07
SS0151,3.96E-07
SS0153,1.24E-06
SS0154,1.61E-06
SS0155,6.29E-07
SS0156,5.30E-07
SS0157,8.19E-07
SS0158,7.79E-07
