sampleid_fake,sampleid_real
S0001,S0001
S0002,S0002
S0003,S0003
S0004,S0004
S0005,S0005
S0006,S0006
S0008,S0008
S0009,S0009
S0010,S0010
S0011,S0011
S0012,S0012
S0013,S0013
S0015,S0015
S0016,S0016
S0017,S0017
S0018,S0018
S0019,S0019
S0020,S0020
S0021,S0021
S0022,S0022
S0023,S0023
S0024,S0024
S0025,S0025
S0026,S0026
S0027,S0027
S0028,S0028
S0029,S0029
SS0033,S0033
SS0034,S0034
SS0035,S0035
SS0036,S0036
SS0037,S0037
SS0039,S0039
SS0040,S0040
SS0041,S0041
SS0042,S0042
SS0043,S0043
SS0045,S0045
SS0046,S0046
SS0047,S0047
SS0048,S0048
SS0149,S0149
SS0150,S0150
SS0151,S0151
SS0153,S0153
SS0154,S0154
SS0155,S0155
SS0156,S0156
SS0157,S0157
SS0158,S0158
