sampleid,norm_cnt,cnt_norm_cnt
S0002,5.8335562018139435E-8,2578
S0002,2.283775193901629E-7,3243
S0002,9.569514535316064E-7,52
S0002,3.4380746125584303E-7,1269
S0002,2.842307170671049E-7,2037
S0002,3.177426356732701E-7,1546
S0002,1.5328599806894086E-7,5478
S0002,1.833846657059596E-7,4687
S0002,4.238637112594599E-7,734
S0002,2.181377664827235E-7,3444
S0002,3.8911061048269603E-7,941
S0002,4.455843992449374E-7,618
S0002,3.853870639708999E-7,900
S0002,4.5458296998177806E-7,598
S0002,3.034690407113849E-7,1741
S0002,9.519867248492116E-7,44
S0002,8.641730862793527E-7,94
S0002,6.795472384027945E-7,166
S0002,4.853022287040961E-7,522
S0002,1.968825218112206E-6,3
S0002,6.205910852993557E-8,2910
S0002,2.904366279200985E-7,1906
S0002,1.2402512839707622E-6,17
S0002,6.302102471214957E-7,232
S0002,4.983346414953826E-7,434
S0002,6.264867006096996E-7,206
S0002,9.401954942285239E-7,62
S0002,6.990958575897241E-7,144
S0002,1.8344672481448953E-6,6
S0002,6.326926114626931E-7,211
S0002,1.571957219063268E-6,17
S0002,5.225376938220575E-7,364
S0002,5.585319767694201E-7,357
S0002,6.798575339454441E-7,180
S0002,1.46397437022118E-6,16
S0002,1.270349951607781E-6,17
S0002,2.8841970689287553E-6,1
S0002,6.500691618510751E-7,206
S0002,5.129185319999175E-7,405
S0002,5.610143411106176E-7,308
S0002,6.817193072013422E-7,183
S0002,1.0155973110923956E-6,35
S0002,1.033594452566077E-6,41
S0002,2.354212282083106E-6,1
S0002,6.236940407258524E-7,230
S0002,1.4317036337856135E-6,16
S0002,9.175439196150974E-7,62
S0002,1.1477832122611584E-6,25
S0002,8.778260901559386E-7,73
S0002,9.107174176768044E-7,58
S0002,9.606750000434025E-7,47
S0002,3.353674224957718E-6,2
S0002,1.6247074613137132E-6,9
S0002,1.3466826550996018E-6,18
S0002,1.3206178295170288E-6,17
S0002,1.046006274272064E-6,38
S0002,9.799133236876826E-7,48
S0002,1.8183318799271122E-6,6
S0002,1.3327193556803663E-6,16
S0002,1.9278662064824486E-6,5
S0002,1.4503213663445943E-6,13
S0002,1.64704874038449E-6,10
S0002,1.161746511680394E-6,28
S0002,1.7835787791503483E-6,7
S0002,2.788626041792655E-6,2
S0002,1.0329738614807774E-6,48
S0002,1.100928585321057E-6,32
S0002,1.6436354894153436E-6,7
S0002,9.696735707802432E-7,54
S0002,1.5977117491031912E-6,7
S0002,1.6867665698436487E-6,4
S0002,2.0138180717964093E-6,5
S0002,1.7146931686821197E-6,4
S0002,1.3851593023881618E-6,15
S0002,1.1350610950125216E-6,34
S0002,1.4344962936694607E-6,17
S0002,9.842574612847782E-7,51
S0002,1.214496753930839E-6,22
S0002,1.2777970446313734E-6,19
S0002,2.3967227714261118E-6,3
S0002,1.2194614826132338E-6,16
S0002,2.529218968137524E-6,1
S0002,2.083944864435236E-6,2
S0002,3.103265722039428E-6,1
S0002,2.892264753037647E-6,3
S0002,1.3289958091685702E-6,11
S0002,1.5694748547220704E-6,10
S0002,3.4340407705039845E-6,2
S0002,2.1041140747074655E-6,3
S0002,1.9508280766385246E-6,4
S0002,1.3690239341703787E-6,12
S0002,1.1722965601304829E-6,22
S0002,4.775138105835893E-6,1
S0002,1.4860053537493072E-6,8
S0002,1.915764680319111E-6,4
S0002,3.1907690650666373E-6,1
S0002,1.3699548207983277E-6,6
S0002,1.4422536822357026E-6,14
S0002,4.262529869378625E-6,1
S0002,2.2766383964206864E-6,3
S0002,1.42549772293262E-6,10
S0002,2.134212742344484E-6,4
S0002,3.672347747258937E-6,1
S0002,6.0914117977558254E-6,1
S0002,2.1522098838181655E-6,1
S0002,1.7572036580251256E-6,6
S0002,4.5867887114475376E-6,1
S0002,2.1792055960286875E-6,3
S0002,2.4401641473970666E-6,1
S0002,1.3963299419235503E-6,6
S0002,2.776834811171967E-6,3
S0002,1.7128313954262217E-6,4
S0002,2.568626502054033E-6,2
S0002,2.3936198159996147E-6,3
S0002,1.0072193314408543E-5,1
S0002,2.327216569872584E-6,3
S0002,2.563972068914288E-6,1
S0002,2.528598377052225E-6,2
S0002,3.2909945253424832E-6,1
S0002,1.641153125074146E-6,4
S0002,3.2149721173933122E-6,2
S0002,2.9735621852118626E-6,1
S0002,2.149727519476968E-6,2
S0002,4.149271996311492E-6,1
S0002,3.67948454473988E-6,1
S0002,2.5208409884859827E-6,1
S0002,3.3670169332916542E-6,1
S0002,2.8146908673752275E-6,1
S0002,1.424566836304671E-6,8
S0002,4.968452228906642E-6,1
S0002,3.682277204623727E-6,1
S0002,3.6115298208996005E-6,1
S0002,2.361659375106698E-6,1
S0002,2.1605878634697067E-6,2
S0002,1.952379554351773E-6,2
S0002,1.3028068653689373E-5,1
S0002,2.9335340602100543E-6,1
S0002,3.761402567999395E-6,1
S0002,2.418443459411589E-6,1
S0002,2.91863987416287E-6,1
S0002,2.8745779071066156E-6,1
