sampleid,norm_cnt,cnt_norm_cnt
S0003,4.99500781061936E-7,450
S0003,1.547435625808924E-7,5649
S0003,7.244667816928844E-8,4358
S0003,1.1248300031547414E-7,6131
S0003,1.8143444401168287E-7,4469
S0003,7.117568381544127E-8,4267
S0003,3.596914021387478E-7,1101
S0003,2.4085343005403783E-7,2723
S0003,1.318656642116434E-7,6201
S0003,3.098048737502466E-7,1529
S0003,1.6205178011551359E-7,5344
S0003,4.168861480618703E-7,713
S0003,2.453019102925029E-7,2698
S0003,2.478438990001973E-7,2550
S0003,2.7294603748867876E-7,2096
S0003,2.7167504313483163E-7,2124
S0003,2.3354521251941666E-7,2882
S0003,9.94553081885407E-8,6013
S0003,1.2725830967894745E-6,26
S0003,6.196097475004932E-8,3422
S0003,5.560600298081349E-8,2623
S0003,4.413527893734282E-7,662
S0003,9.691331948084637E-8,5967
S0003,3.7716757450414636E-7,977
S0003,8.684068922660758E-7,93
S0003,2.599183453617453E-7,2376
S0003,9.024059912314875E-7,81
S0003,1.9700412484631065E-7,4025
S0003,3.7653207732722276E-7,928
S0003,5.103042330696369E-7,427
S0003,6.510668577582105E-7,203
S0003,3.225148172887182E-7,1481
S0003,3.908307638080034E-7,911
S0003,1.0542898165162237E-6,40
S0003,4.226056226541825E-7,726
S0003,2.6077626655059216E-6,2
S0003,7.015888833236353E-7,181
S0003,3.345892636502663E-7,1199
S0003,2.224875616409463E-6,4
S0003,6.545620922312903E-7,218
S0003,1.3987292864088056E-6,15
S0003,1.3990470349972674E-6,22
S0003,5.083977415388662E-8,2161
S0003,7.289152619313494E-7,142
S0003,1.0838404352431704E-6,36
S0003,4.753518883388399E-7,465
S0003,6.453473831658983E-7,219
S0003,8.121653921083388E-7,129
S0003,9.278258783084308E-7,76
S0003,9.935998361200215E-7,50
S0003,6.316841938620413E-7,215
S0003,1.1508853874086084E-6,26
S0003,7.625966123082992E-7,124
S0003,8.547437029622188E-7,98
S0003,3.8034506038876426E-7,852
S0003,6.138902729081809E-7,246
S0003,1.7393557732398458E-6,11
S0003,5.20789936488876E-7,414
S0003,5.941898604235498E-7,243
S0003,8.277350729429665E-7,104
S0003,5.029960155350157E-7,419
S0003,9.357695930199756E-7,69
S0003,5.948253576004734E-7,258
S0003,8.601454289660692E-7,96
S0003,1.1979121785009534E-6,43
S0003,5.471630693312047E-7,360
S0003,1.4842036567050275E-6,13
S0003,7.009533861467118E-7,166
S0003,8.798458414507003E-7,92
S0003,1.186155480727867E-6,30
S0003,7.343169879351999E-7,142
S0003,6.272357136235762E-7,218
S0003,8.8334107592378E-7,89
S0003,6.615525611774496E-7,212
S0003,2.324648673186466E-6,3
S0003,1.3272358540049026E-6,18
S0003,1.3701319134472445E-6,16
S0003,1.3837951027511014E-6,24
S0003,1.4384478599665295E-6,15
S0003,7.972312084506345E-7,132
S0003,8.706311323853083E-7,82
S0003,4.893328262311587E-7,436
S0003,1.5865187021897242E-6,11
S0003,1.2592376560740791E-6,23
S0003,2.634771295525174E-6,2
S0003,8.02632934454485E-7,113
S0003,8.220155983506542E-7,110
S0003,1.4536997922126955E-6,14
S0003,1.9652750196361795E-6,8
S0003,1.638629470697458E-6,21
S0003,1.6440311967013085E-6,10
S0003,8.474354854275976E-7,73
S0003,1.1276897404508975E-6,42
S0003,1.0425331187431374E-6,43
S0003,1.5394919110973792E-6,15
S0003,1.322151876589514E-6,21
S0003,2.206763946867141E-6,1
S0003,1.0428508673315992E-6,43
S0003,2.552792159702032E-6,1
S0003,2.4539723486904146E-6,4
S0003,1.0962326301931802E-6,32
S0003,2.2522019950171773E-6,4
S0003,1.2821155544433282E-6,16
S0003,2.4145715237211527E-6,5
S0003,2.127962296928617E-6,2
S0003,4.835498019211541E-6,1
S0003,1.5858832050128007E-6,12
S0003,2.622696849163626E-6,1
S0003,1.4505223063280776E-6,15
S0003,1.92809843478615E-6,8
S0003,3.1825698620333023E-6,1
S0003,1.8219704062399118E-6,5
S0003,4.906673703026982E-6,1
S0003,1.8832958838130375E-6,7
S0003,1.5696780270012494E-6,8
S0003,1.8251478921245297E-6,8
S0003,4.9905911052397414E-5,1
S0003,1.820063914709141E-6,5
S0003,2.2823881109210473E-6,1
S0003,1.8175219260014466E-6,5
S0003,1.2554246730125377E-6,21
S0003,4.6651847757960206E-6,1
S0003,2.630005066698247E-6,2
S0003,2.56486660606358E-6,2
S0003,1.6020883830243522E-6,14
S0003,1.3510669981395368E-6,18
S0003,1.5747620044166381E-6,10
S0003,1.462279004101164E-6,14
S0003,2.0037225988400564E-6,9
S0003,2.448888371275026E-6,3
S0003,1.653881402943624E-6,6
S0003,2.61634187739439E-6,2
S0003,3.6687252023798433E-6,1
S0003,1.6910579877936537E-6,9
S0003,2.6010899451482242E-6,1
S0003,1.0709398425516216E-5,1
S0003,1.9195192228976818E-6,7
S0003,3.843486926033829E-6,1
S0003,3.4580578882296756E-6,1
S0003,3.492374735783549E-6,1
S0003,2.2591924639633367E-6,7
S0003,1.7075809143936668E-6,8
S0003,3.0964599945601567E-6,1
S0003,2.785701875044525E-6,1
S0003,2.6280985751674765E-6,1
S0003,1.8076717197591311E-6,4
S0003,2.1257380568093843E-6,2
S0003,1.9226967087822995E-6,8
S0003,3.891784711480021E-6,1
S0003,3.92896129633005E-6,1
S0003,3.1841586049756114E-6,1
S0003,2.8749892284022884E-6,2
S0003,2.0342264633323883E-6,3
