Cruise,Station,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Operator's Cruise Name,CTDPRS [dbar],Cast Identifier,Sampling Device,Bottle Number,BODC Bottle Number,DEPTH [m],CTDTMP [deg C],CTDSAL [pss-78]
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,10.1,01_01_UCC,UCCTD,24,637508,10,10.191,33.971001
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,10.1,01_02_ROS,CTD,24,637580,10,9.995,33.984001
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,24.2,01_02_ROS,CTD,23,637577,24,9.517,33.995998
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,25.2,01_01_UCC,UCCTD,23,637505,25,9.714,33.991001
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,49.4,01_02_ROS,CTD,22,637574,49,8.3,33.988998
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,51.4,01_01_UCC,UCCTD,22,637502,51,9.029,34
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,74.7,01_01_UCC,UCCTD,21,637499,74,6.109,34.006001
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,75.7,01_02_ROS,CTD,21,637571,75,5.582,34.009998
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,99.9,01_02_ROS,CTD,20,637568,99,4.387,34.043999
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,100.9,01_01_UCC,UCCTD,20,637496,100,4.713,34.028
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,152.4,01_01_UCC,UCCTD,19,637493,151,3.827,34.080002
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,152.4,01_02_ROS,CTD,19,637565,151,3.736,34.075001
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,201.8,01_01_UCC,UCCTD,18,637490,200,3.304,34.055
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,201.8,01_02_ROS,CTD,18,637562,200,3.377,34.074001
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,252.3,01_01_UCC,UCCTD,17,637487,250,2.976,34.069
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,252.3,01_02_ROS,CTD,17,637559,250,3.13,34.075001
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,302.8,01_01_UCC,UCCTD,16,637484,300,2.797,34.094002
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,402.8,01_02_ROS,CTD,15,637553,399,2.845,34.154999
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,402.8,01_02_ROS,CTD,16,637556,399,2.859,34.157001
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,403.8,01_01_UCC,UCCTD,15,637481,400,2.802,34.167999
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,503.9,01_02_ROS,CTD,14,637550,499,2.814,34.238998
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,504.9,01_01_UCC,UCCTD,14,637478,500,2.386,34.207001
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,605,01_01_UCC,UCCTD,13,637475,599,2.69,34.323002
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,606,01_02_ROS,CTD,13,637547,600,2.717,34.291
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,708.2,01_01_UCC,UCCTD,12,637472,701,2.725,34.386002
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,709.3,01_02_ROS,CTD,12,637544,702,2.719,34.368
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,808.5,01_01_UCC,UCCTD,11,637469,800,2.642,34.444
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,808.5,01_02_ROS,CTD,11,637541,800,2.672,34.438999
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,909.7,01_02_ROS,CTD,10,637538,900,2.597,34.480999
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,911.8,01_01_UCC,UCCTD,10,637466,902,2.551,34.497002
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,997.9,01_01_UCC,UCCTD,9,637463,987,2.477,34.528
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,1010,01_02_ROS,CTD,9,637535,999,2.482,34.525002
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,1262.6,01_02_ROS,CTD,8,637532,1248,2.286,34.618
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,1262.6,01_01_UCC,UCCTD,8,637460,1248,2.293,34.615002
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,1515.4,01_01_UCC,UCCTD,7,637457,1497,2.129,34.668999
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,1520.5,01_02_ROS,CTD,7,637529,1502,2.147,34.667
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,1771.5,01_01_UCC,UCCTD,6,637454,1749,1.986,34.695999
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,1773.6,01_02_ROS,CTD,6,637526,1751,1.983,34.698002
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,1898.7,01_01_UCC,UCCTD,5,637451,1874,1.913,34.703999
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,1899.7,01_02_ROS,CTD,5,637523,1875,1.904,34.707001
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,2024.9,01_02_ROS,CTD,4,637520,1998,1.78,34.714001
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,2028,01_01_UCC,UCCTD,4,637448,2001,1.82,34.712002
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,2147.2,01_02_ROS,CTD,3,637517,2118,1.639,34.716999
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,2152.3,01_01_UCC,UCCTD,3,637445,2123,1.673,34.715
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,2274.6,01_02_ROS,CTD,2,637514,2243,1.381,34.717999
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,2279.7,01_01_UCC,UCCTD,2,637442,2248,1.341,34.717999
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,2331.7,01_02_ROS,CTD,1,637511,2299,1.273,34.717999
GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,2344.9,01_01_UCC,UCCTD,1,637439,2312,1.266,34.715
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,9.1,02_04_UCC,UCCTD,24,637796,9,10.776,34.034
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,10.1,02_01_UCC,UCCTD,24,637652,10,10.123,33.970001
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,11.1,02_02_ROS,CTD,24,637724,11,11.272,34.07
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,24.2,02_04_UCC,UCCTD,23,637793,24,9.712,33.969002
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,25.2,02_01_UCC,UCCTD,23,637649,25,9.715,33.969002
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,25.2,02_02_ROS,CTD,23,637721,25,9.836,33.967999
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,45.4,02_01_UCC,UCCTD,22,637646,45,7.856,33.963001
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,48.4,02_05_ROS,CTD,24,637868,48,8.252,33.967999
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,49.4,02_05_ROS,CTD,22,637862,49,8.255,33.965
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,50.4,02_05_ROS,CTD,23,637865,50,8.28,33.963001
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,50.4,02_05_ROS,CTD,21,637859,50,8.212,33.966999
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,50.4,02_05_ROS,CTD,20,637856,50,8.145,33.966999
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,51.4,02_04_UCC,UCCTD,22,637790,51,8.25,33.974998
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,51.4,02_02_ROS,CTD,22,637718,51,7.839,33.973
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,51.4,02_04_UCC,UCCTD,21,637787,51,8.475,33.973
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,75.7,02_01_UCC,UCCTD,21,637643,75,6.087,33.98
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,75.7,02_02_ROS,CTD,21,637715,75,6.119,33.981998
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,98.9,02_01_UCC,UCCTD,20,637640,98,4.929,33.992001
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,99.9,02_02_ROS,CTD,20,637712,99,5.058,33.988998
GA02,2,2011-03-06T23:17:05.000,311.26529,-48.8942,5900,JC057,100.9,02_04_UCC,UCCTD,20,637784,100,4.706,33.992001
