,Cruise,Station,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Operator's Cruise Name,CTDPRS [dbar],Cast Identifier,Sampling Device,Bottle Number,BODC Bottle Number,DEPTH [m],CTDTMP [deg C],CTDSAL [pss-78],OXYGEN [umol/kg],CTDOXY [umol/kg],PHSPHT [umol/kg],SILCAT [umol/kg],NITRAT [umol/kg],NITRIT [umol/kg],TALK [umol/kg],DIC [umol/kg],H2O_2_D_DELTA_BOTTLE [per mil],H2O_18_D_DELTA_BOTTLE [per mil],Al_D_CONC_BOTTLE [nmol/kg],STANDARD_DEV,Ba_D_CONC_BOTTLE [nmol/kg],Cd_D_CONC_BOTTLE [nmol/kg],Fe_D_CONC_BOTTLE [nmol/kg],Fe_D_CONC_BOTTLE_FIA [nmol/kg],STANDARD_DEV.1,Mn_D_CONC_BOTTLE [nmol/kg],STANDARD_DEV.2,Mo_D_CONC_BOTTLE [nmol/kg],Ni_D_CONC_BOTTLE [nmol/kg],Pb_D_CONC_BOTTLE [pmol/kg],U_D_CONC_BOTTLE [nmol/kg],Zn_D_CONC_BOTTLE [nmol/kg],Y_D_CONC_BOTTLE [pmol/kg],La_D_CONC_BOTTLE [pmol/kg],Pa_231_D_CONC_BOTTLE [uBq/kg],STANDARD_DEV.3,Th_230_D_CONC_BOTTLE [uBq/kg],STANDARD_DEV.4,Th_232_D_CONC_BOTTLE [pmol/kg],STANDARD_DEV.5,Th_234_D_CONC_BOTTLE [mBq/kg],STANDARD_DEV.6
0,GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,10.1,01_01_UCC,UCCTD,24,637508,10,10.191,33.971001,0,288.5,1.01,0,13.33,0.16,0,0,-1.78,-0.26,4.41951,0.11707,48.7639,0.0528,0.52,0.49756,0.01951,0.0878,0.00098,118.365,4.88,14.94,11.6117,0.21,114.88,11.05,0,0,0,0,0,0,25.0829,0.60488
1,GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,10.1,01_02_ROS,CTD,24,637580,10,9.995,33.984001,285.6,287.1,1.01,0,12.96,0.17,2277.8,2073.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,24.2,01_02_ROS,CTD,23,637577,24,9.517,33.995998,0,288.4,1.03,0,13.06,0.17,2278,2075.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79678,0.07317,0.71542,0.05688,0.18995,0.00342,0,0
3,GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,25.2,01_01_UCC,UCCTD,23,637505,25,9.714,33.991001,0,289.4,2.37,0,13.04,0.01,0,0,-2.11,-0.26,4.28293,0.02927,44.281,0.0697,0.37,0.30244,0,0.0878,0.00488,118.862,4.83,13.45,11.8537,0.09,114.4,10.66,0,0,0,0,0,0,23.7171,0.56585
4,GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,49.4,01_02_ROS,CTD,22,637574,49,8.3,33.988998,0,288.4,1.21,0.12,15.13,0.17,2277.6,2093.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,51.4,01_01_UCC,UCCTD,22,637502,51,9.029,34,0,287.9,2.34,0,13.86,0.01,0,0,-2.16,-0.26,5.47317,0.05854,52.2449,0.1557,0.43,0.37073,0.00976,0.0878,0.00098,116.636,4.82,10.06,11.8576,0.18,112.09,10.1,0,0,0,0,0,0,26.5171,0.61463
6,GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,74.7,01_01_UCC,UCCTD,21,637499,74,6.109,34.006001,0,294.2,2.29,1.91,19.32,0.01,0,0,-2.14,-0.35,3.6,0.04878,67.3346,0.3743,0.35,0.33171,0.00976,0.12683,0.00293,117.205,5.28,11.18,11.6898,0.55,116.05,11.95,0,0,0,0,0,0,34.9951,0.74146
7,GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,75.7,01_02_ROS,CTD,21,637571,75,5.582,34.009998,0,297,1.55,2.85,20.54,0.35,2276.7,2123.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,99.9,01_02_ROS,CTD,20,637568,99,4.387,34.043999,0,294.5,1.71,7.53,24.03,0.45,2275.5,2138.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78049,0.11385,2.7642,0.08127,0.93265,0.01036,0,0
9,GA02,1,2011-03-05T19:28:00.000,307.31189,-49.5472,2322,JC057,100.9,01_01_UCC,UCCTD,20,637496,100,4.713,34.028,0,298.8,2.25,5.69,22.51,0.02,0,0,-2.6,-0.38,2.7122,0.06829,69.1532,0.4684,0.31,0.28293,0.00976,0.16585,0.00195,113.972,5.28,11.84,11.8654,0.68,118.33,13.06,0,0,0,0,0,0,43.0049,0.89756
