Library	Cruise	Station	BODC Station	CTDPRS [dbar]	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]
1	GA02	10	1608554	10	2010-05-10T10:40:29.000	317.5531	49.722
2	GA02	10	1608554	40	2010-05-10T10:40:29.000	317.5531	49.722
3	GA02	10	1608554	80	2010-05-10T10:40:29.000	317.5531	49.722
4	GA02	10	1608554	100	2010-05-10T10:40:29.000	317.5531	49.722
5	GA02	10	1608554	160	2010-05-10T10:40:29.000	317.5531	49.722
6	GA02	10	1608554	180	2010-05-10T10:40:29.000	317.5531	49.722
8	GA02	12	1608603	10	2010-05-12T18:57:00.000	320.34161	46.3119
9	GA02	12	1608603	40	2010-05-12T18:57:00.000	320.34161	46.3119
10	GA02	12	1608603	80	2010-05-12T18:57:00.000	320.34161	46.3119
11	GA02	12	1608603	100	2010-05-12T18:57:00.000	320.34161	46.3119
12	GA02	12	1608603	160	2010-05-12T18:57:00.000	320.34161	46.3119
13	GA02	12	1608603	180	2010-05-12T18:57:00.000	320.34161	46.3119
15	GA02	16	1608687	10	2010-05-20T11:48:29.000	306.70898	36.2051
16	GA02	16	1608687	40	2010-05-20T11:48:29.000	306.70898	36.2051
17	GA02	16	1608687	80	2010-05-20T11:48:29.000	306.70898	36.2051
18	GA02	16	1608687	100	2010-05-20T11:48:29.000	306.70898	36.2051
19	GA02	16	1608687	160	2010-05-20T11:48:29.000	306.70898	36.2051
20	GA02	16	1608687	180	2010-05-20T11:48:29.000	306.70898	36.2051
21	GA02	15	1608673	10	2010-05-19T00:32:00.000	309.21811	37.5345
22	GA02	15	1608673	40	2010-05-19T00:32:00.000	309.21811	37.5345
23	GA02	15	1608673	80	2010-05-19T00:32:00.000	309.21811	37.5345
24	GA02	15	1608673	100	2010-05-19T00:32:00.000	309.21811	37.5345
25	GA02	15	1608673	160	2010-05-19T00:32:00.000	309.21811	37.5345
26	GA02	15	1608673	180	2010-05-19T00:32:00.000	309.21811	37.5345
27	GA02	17	1608701	10	2010-05-21T11:48:00.000	304.5755	34.3307
28	GA02	17	1608701	40	2010-05-21T11:48:00.000	304.5755	34.3307
29	GA02	17	1608701	80	2010-05-21T11:48:00.000	304.5755	34.3307
30	GA02	17	1608701	100	2010-05-21T11:48:00.000	304.5755	34.3307
31	GA02	17	1608701	160	2010-05-21T11:48:00.000	304.5755	34.3307
32	GA02	17	1608701	180	2010-05-21T11:48:00.000	304.5755	34.3307
33	GA02	33	1609079	10	2010-06-26T10:46:30.000	306.57889	13.162
34	GA02	33	1609079	75	2010-06-26T10:46:30.000	306.57889	13.162
35	GA02	33	1609079	100	2010-06-26T10:46:30.000	306.57889	13.162
36	GA02	33	1609079	150	2010-06-26T10:46:30.000	306.57889	13.162
