Library	Cruise	Station	BODC Station	CTDPRS [dbar]	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]
S0001	GA02	10	1608554	10	2010-05-10T10:40:29.000	317.5531	49.722
S0002	GA02	10	1608554	40	2010-05-10T10:40:29.000	317.5531	49.722
S0003	GA02	10	1608554	80	2010-05-10T10:40:29.000	317.5531	49.722
S0004	GA02	10	1608554	100	2010-05-10T10:40:29.000	317.5531	49.722
S0005	GA02	10	1608554	160	2010-05-10T10:40:29.000	317.5531	49.722
S0006	GA02	10	1608554	180	2010-05-10T10:40:29.000	317.5531	49.722
S0008	GA02	12	1608603	10	2010-05-12T18:57:00.000	320.34161	46.3119
S0009	GA02	12	1608603	40	2010-05-12T18:57:00.000	320.34161	46.3119
S0010	GA02	12	1608603	80	2010-05-12T18:57:00.000	320.34161	46.3119
S0011	GA02	12	1608603	100	2010-05-12T18:57:00.000	320.34161	46.3119
S0012	GA02	12	1608603	160	2010-05-12T18:57:00.000	320.34161	46.3119
S0013	GA02	12	1608603	180	2010-05-12T18:57:00.000	320.34161	46.3119
S0015	GA02	16	1608687	10	2010-05-20T11:48:29.000	306.70898	36.2051
S0016	GA02	16	1608687	40	2010-05-20T11:48:29.000	306.70898	36.2051
S0017	GA02	16	1608687	80	2010-05-20T11:48:29.000	306.70898	36.2051
S0018	GA02	16	1608687	100	2010-05-20T11:48:29.000	306.70898	36.2051
S0019	GA02	16	1608687	160	2010-05-20T11:48:29.000	306.70898	36.2051
S0020	GA02	16	1608687	180	2010-05-20T11:48:29.000	306.70898	36.2051
S0021	GA02	15	1608673	10	2010-05-19T00:32:00.000	309.21811	37.5345
S0022	GA02	15	1608673	40	2010-05-19T00:32:00.000	309.21811	37.5345
S0023	GA02	15	1608673	80	2010-05-19T00:32:00.000	309.21811	37.5345
S0024	GA02	15	1608673	100	2010-05-19T00:32:00.000	309.21811	37.5345
S0025	GA02	15	1608673	160	2010-05-19T00:32:00.000	309.21811	37.5345
S0026	GA02	15	1608673	180	2010-05-19T00:32:00.000	309.21811	37.5345
S0027	GA02	17	1608701	10	2010-05-21T11:48:00.000	304.5755	34.3307
S0028	GA02	17	1608701	40	2010-05-21T11:48:00.000	304.5755	34.3307
S0029	GA02	17	1608701	80	2010-05-21T11:48:00.000	304.5755	34.3307
