asample,bsample,BCdis
S0088,S0099,0.17316149756449317
S0042,S0083,0.13161738755799757
S0098,S0184,0.06021347657898568
S0089,S0136,0.048437552098382186
S0083,S0167,0.12493626133303959
S0167,S0180,0.04175606895662809
S0068,S0071,0.1345818501090782
S0071,S0196,0.2407629274965577
S0079,S0185,0.22326596541273103
S0098,S0156,0.2358608388783917
S0069,S0070,0.028022417206076455
S0066,S0171,0.07312253223094212
S0079,S0138,0.20234355613223043
S0138,S0167,0.11384130667056547
S0178,S0196,0.123401236343328
S0089,S0145,0.11391528181251498
S0068,S0145,0.11819141532987643
S0140,S0192,0.09900641181063397
S0140,S0164,0.0709964279518871
S0136,S0154,0.12840100831799417
S0053,S0167,0.049657039252806734
S0039,S0164,0.09525942819343025
S0088,S0149,0.15199587520215896
S0092,S0131,0.08053559650023334
S0093,S0131,0.07915989572905757
S0039,S0131,0.10139222777395607
S0099,S0118,0.08911394953686369
S0112,S0131,0.13248315442342073
S0025,S0151,0.15951104516898962
S0182,S0190,0.062130268758718965
S0081,S0182,0.19984578453290958
S0050,S0196,0.07575221461152881
S0026,S0157,0.13484511798256205
S0072,S0120,0.14754933678798754
S0011,S0084,0.11253449743822008
S0011,S0082,0.0982802689520701
S0006,S0011,0.1304274434117343
S0129,S0180,0.0512487854944792
S0034,S0196,0.097606841589013
S0034,S0082,0.0967924616687742
S0158,S0172,0.17980687509297422
S0158,S0168,0.11650506182703246
S0135,S0158,0.1475126623841354
S0118,S0158,0.10566503476597922
S0079,S0101,0.12299843240146835
S0022,S0196,0.09181454693960134
S0028,S0119,0.14723614987742206
S0071,S0139,0.24693170087698513
S0017,S0074,0.0737037352677582
S0053,S0064,0.08675940420937711
S0009,S0068,0.1431777119163412
S0110,S0187,0.10707085908618119
S0085,S0115,0.06450896660805883
S0094,S0110,0.11134602884697409
S0104,S0164,0.12211228352323777
S0126,S0174,0.10546776895175158
S0060,S0171,0.14559692318149198
S0060,S0127,0.08824118163950201
S0060,S0118,0.09229217297196513
S0037,S0105,0.06730059479357886
S0020,S0091,0.07893573147717314
S0085,S0159,0.12322845766978197
S0057,S0182,0.05761328866081039
S0054,S0057,0.17257697009918738
S0003,S0096,0.08661001139331637
S0003,S0080,0.1640472349922677
S0059,S0135,0.15511528774905914
S0059,S0182,0.07747325161495422
S0059,S0174,0.1942617822936128
S0125,S0136,0.08703645370500723
S0094,S0125,0.06493277681148224
S0140,S0141,0.08793331878708555
S0139,S0179,0.0711486760586193
S0061,S0098,0.1330537512311437
S0061,S0169,0.09981539528238392
S0027,S0108,0.0913867007745428
S0073,S0165,0.10942835010375251
S0078,S0111,0.04885556158791271
S0059,S0111,0.15024833030331763
S0105,S0188,0.07176159951210637
S0027,S0188,0.12489445904721486
S0137,S0189,0.0758092516415576
S0084,S0137,0.10178416374581767
S0023,S0137,0.10392512890958383
