Library,Station,pressure,depth,temp,sal,OXYGEN,CTDOXY,PHSPHT,SILCAT,NITRAT,NITRIT,TALK,DIC,H2O_2_D_DELTA_BOTTLE,H2O_18_D_DELTA_BOTTLE,Al_D_CONC_BOTTLE,STANDARD_DEV,Ba_D_CONC_BOTTLE,Cd_D_CONC_BOTTLE,Fe_D_CONC_BOTTLE,Fe_D_CONC_BOTTLE_FIA,Fe_D_CONC_BOTTLE_FIA_STANDARD_DEV,Mn_D_CONC_BOTTLE,Mn_D_CONC_BOTTLE_STANDARD_DEV,Mo_D_CONC_BOTTLE,Ni_D_CONC_BOTTLE,Pb_D_CONC_BOTTLE,U_D_CONC_BOTTLE,Zn_D_CONC_BOTTLE,Y_D_CONC_BOTTLE,La_D_CONC_BOTTLE,Pa_231_D_CONC_BOTTLE,Pa_231_D_CONC_BOTTLE_STANDARD_DEV,Th_230_D_CONC_BOTTLE,Th_230_D_CONC_BOTTLE_STANDARD_DEV,Th_232_D_CONC_BOTTLE,Th_232_D_CONC_BOTTLE_STANDARD_DEV,Th_234_D_CONC_BOTTLE,Th_234_D_CONC_BOTTLE_STANDARD_DEV
S0001,10,10,10,15.0723333333,35.038667,69.4333333333,255.2,0.09,0.7533333333,0.2,0.0533333333,769.6,688.8333333333,0.9933333333,-0.6066666667,1.86179,-0.3040666667,12.0357666667,-0.3224333333,-0.24,-0.2413,-0.3297533333,0.2910566667,-0.32748,47.3866666667,1.5433333333,13.1133333333,3.5359333333,-0.2233333333,81.52,13.5766666667,-1,-1,-1,-1,-1,-1,11.1642333333,-0.4
S0002,10,40,39.7359307359,22.3037943723,35.7607041039,-1,229.0268398268,0.0082034632,0.3522727273,0,0.01,1170.55,1015.95,3.8037012987,-0.071991342,2.7446854978,-0.1611319697,31.1163385281,-0.1770363636,-0.1178571429,-0.1016036797,-0.49512,0.5991896104,-0.1654226623,120.8185042424,1.8706709957,17.2968614719,10.2017177489,-0.0701948052,74.8488095238,8.9964935065,-1,-1,-1,-1,-1,-1,30.2318467532,0.457870303
S0003,10,80,79.2972972973,11.0290405405,35.249001,-1,223.9081081081,0.4916216216,2.4216216216,6.5337837838,0.3183783784,2328.4,2127.3,-1,-1,2.6439,0.04878,-1,0.0842,0.12,0.10146,0.00293,0.80976,0.00683,-1,3.21,19.43,-1,0.11,147.10001,26.05,-1,-1,-1,-1,-1,-1,-1,-1
S0004,10,100,99.1171171171,10.6984099099,35.249001,-1,237.781981982,0.5997297297,3.8630630631,8.786036036,0.2102702703,2328.4,2127.3,-1,-1,2.6439,0.04878,-1,0.0842,0.12,0.10146,0.00293,0.80976,0.00683,-1,3.21,19.43,-1,0.11,147.10001,26.05,-1,-1,-1,-1,-1,-1,-1,-1
S0005,10,160,158.5443037975,9.7903227848,35.1320181266,-1,221.1284810127,0.8166455696,5.8734177215,12.5518987342,0.0586075949,2159.582278481,1992.3879746836,-1,-1,4.661,-0.417075,-1,-0.37745,-0.185,-0.210245,-0.49756,-0.260975,-0.498535,-1,1.405,10.68,-1,-0.11,72.65,13.44,-1,-1,-1,-1,-1,-1,-1,-1
S0006,10,180,178.3755274262,9.527664557,35.1048033586,-1,200.3056962025,0.9579957806,7.3080168776,14.8303797468,0.0543881857,1668.3164556962,1546.2909282701,-1,-1,4.661,-0.417075,-1,-0.37745,-0.185,-0.210245,-0.49756,-0.260975,-0.498535,-1,1.405,10.68,-1,-0.11,72.65,13.44,-1,-1,-1,-1,-1,-1,-1,-1
S0008,12,10,9.9,23.0798,36.3320002,-1,218.19,0.021,0.335,0.27,0.034,944.56,827.95,1.2766666667,-0.4,0.9203266667,-0.6504066667,11.8299333333,-0.6654666667,-0.63,-0.64065,-1,-0.3121966667,-0.6614633333,48.6646666667,0.1033333333,6.7133333333,3.6562666667,-0.42,28.03,2.6966666667,-1,-1,-1,-1,-1,-1,11.5609666667,-0.4422766667
S0009,12,40,39.7402597403,20.7973636364,36.3693242727,-1,221.9688311688,0.1085714286,1.1548051948,1.7311688312,0.0985714286,2399.8,2061.5,-1,-1,15.8927,0.17561,-1,0.0394,0.05,0.05366,0.0039,0.76098,0.01366,-1,2.75,21.12,-1,0.1,146.82001,19.06,-1,-1,-1,-1,-1,-1,34.5366,1.7561
S0010,12,80,79.4871794872,21.0622820513,36.6392836667,-1,215.3615384615,0.0820512821,1.0102564103,0.641025641,0.0494871795,-1,-1,-1,-1,16.3415,0.22439,-1,0.048,0.07,0.04683,0.00098,0.73171,0.01073,-1,2.74,21.53,-1,0.08,145.55,19.09,-1,-1,-1,-1,-1,-1,39.2195,1.85366
S0011,12,100,99.3636363636,17.6167272727,29.8454539091,-1,173.7727272727,-0.1409090909,0.4763636364,-0.1818181818,-0.1290909091,2405.6,2087.1,2.195,-0.125,2.236585,-0.47073,18.58925,-0.499,-0.49,-0.485365,-1,0.05122,-0.488295,75.728995,0.645,8.705,5.99855,-0.48,42.27,4.675,0.65044,0.08946,2.40654,0.07317,0.13814,0.00176,19.1,-0.114635
