asample|bsample,BCdis
S0017|S0023,0.06752825465919876
S0013|SS0149,0.07433831265668267
S0028|SS0034,0.1139202869994077
SS0037|SS0158,0.08532664256151012
S0006|SS0046,0.08033816563702112
SS0047|SS0151,0.22832106454275403
S0011|SS0046,0.14742234828587408
SS0043|SS0150,0.10524903080226766
S0018|S0027,0.09502138083469669
SS0035|SS0156,0.13427698963622137
S0002|S0013,0.16929351603860743
S0024|SS0150,0.07035762176072802
S0028|S0029,0.10466958003072968
S0025|SS0046,0.0753259800787025
S0013|S0029,0.051177273187214656
S0013|SS0151,0.24305602557663897
SS0039|SS0046,0.0725825933795301
S0011|SS0150,0.16690226304555877
S0016|S0017,0.0687288434870571
SS0041|SS0151,0.13934936717399382
S0015|SS0150,0.1168308087262433
SS0037|SS0154,0.09318924446041188
S0020|SS0037,0.08298872930190992
SS0033|SS0154,0.1010036732801538
S0015|SS0043,0.1117232205009896
S0018|SS0041,0.06299389355363572
S0015|SS0155,0.11054270574269909
S0008|S0020,0.1743966413722372
S0008|SS0151,0.10883313818407636
S0020|SS0040,0.15214154049165363
S0021|SS0040,0.1083317245687121
S0013|SS0035,0.10814209814445697
S0024|SS0035,0.07487927390294769
S0002|S0009,0.143859287100214
S0023|S0026,0.07138738544158629
S0027|SS0046,0.1266092344926869
S0013|S0026,0.1098251120153052
S0016|S0029,0.07684831741735365
S0013|S0020,0.047551539662702536
S0020|SS0154,0.08919085883943034
S0015|S0027,0.11677988001937212
S0009|SS0156,0.19704100178536366
S0004|SS0149,0.080202858795556
S0004|S0029,0.061720344828148144
S0010|S0011,0.08288320905655588
S0006|S0010,0.08036086308680213
SS0037|SS0045,0.09183834764067222
SS0033|SS0048,0.0748411140974865
SS0043|SS0048,0.07418452563191713
S0016|SS0043,0.09864464905548254
S0015|S0019,0.055077147067113086
S0018|S0025,0.05482897432184142
S0001|S0027,0.22880106854602156
S0004|S0005,0.07354909844310775
S0005|S0021,0.08229072550186811
S0009|S0012,0.10099509568808662
S0001|SS0033,0.31315118666750963
SS0040|SS0158,0.15077190746925406
SS0036|SS0037,0.04020047402478688
S0022|SS0156,0.1270346744080224
SS0151|SS0156,0.053852256923137665
S0024|SS0151,0.15370784278096006
S0021|S0025,0.06745878973330321
S0016|SS0039,0.10687571519320038
SS0045|SS0157,0.11546444535889966
S0015|S0022,0.09012703962484359
S0023|SS0033,0.08711755441477442
SS0043|SS0149,0.10624605646176255
S0029|SS0043,0.12531348645613305
S0019|S0029,0.06761220452191086
S0018|SS0047,0.12281962536346613
S0001|S0015,0.30478381069754246
S0003|SS0153,0.1008468069017725
S0028|SS0036,0.11629732018686767
S0012|SS0035,0.12894189686034097
S0002|S0004,0.16913440098549348
S0002|S0026,0.100607398746408
S0021|S0022,0.04391752248034564
S0016|S0020,0.0708198199348935
SS0039|SS0041,0.07221110679326836
S0024|SS0153,0.07786295188001802
S0010|SS0047,0.09867678221963594
S0016|SS0037,0.0677798588824452
S0018|SS0153,0.09328097776510769
S0018|SS0039,0.06276719433089473
S0001|S0028,0.3117294757623321
S0008|SS0041,0.09583213127241952
S0008|S0015,0.15132460124192948
S0012|S0028,0.12556139513264886
S0019|SS0036,0.06974056582935917
SS0035|SS0153,0.10076787851301094
S0002|S0019,0.12422812803912942
S0023|SS0158,0.07538970187190619
S0022|SS0158,0.09631479316027747
S0022|SS0150,0.07142582757478966
S0013|S0023,0.09787185661090048
S0011|S0017,0.14676382712204084
S0028|SS0045,0.15194169306454497
SS0046|SS0150,0.09908086125023852
S0019|SS0158,0.07326440107652865
S0001|SS0048,0.3086594197631286
S0005|S0009,0.0904567093302221
S0005|SS0043,0.08803138054075921
S0003|SS0048,0.11839518889690492
S0003|SS0149,0.11445320882713228
S0012|SS0151,0.2654360658374906
SS0040|SS0041,0.0802893301923544
SS0037|SS0040,0.09602211124973059
S0029|SS0040,0.1682115208071
S0003|SS0035,0.0908655831996622
S0002|S0017,0.07517085578465565
S0002|S0012,0.18939265938172734
S0024|SS0158,0.08984663520327518
S0016|S0024,0.06345347637773269
S0023|SS0039,0.09326596720181612
S0024|SS0039,0.07393789055704703
SS0034|SS0157,0.1255754072776991
S0011|S0026,0.13669579495551665
S0016|SS0153,0.07344473941193708
S0009|SS0048,0.11229418424935067
S0006|SS0048,0.1062281926466021
SS0033|SS0047,0.0686925034663276
S0004|SS0033,0.09891703686199516
S0008|SS0150,0.08888919855595279
S0008|S0019,0.14367641522550156
S0005|SS0037,0.06746396311116853
S0005|S0008,0.13628361430059222
SS0036|SS0046,0.0699393035549889
SS0036|SS0150,0.06320475513199242
S0009|SS0035,0.11424217313668505
S0024|S0027,0.08339476298302961
